1,0,0,0,0
2,1,1,1,1
3,3,3,3,3
4,7,6,6,6
5,12,9,10,10
6,17,10,15,15
7,19,16,21,21
8,25,18,28,28
9,33,24,36,36
10,39,29,45,45
11,45,42,55,55
12,49,38,66,66
13,60,54,78,78
14,67,41,91,91
15,69,93,105,105
16,80,59,120,120
17,87,80,136,136
18,99,81,153,153
19,104,104,171,171
20,112,120,190,190
21,120,116,210,210
22,132,112,231,231
23,136,124,253,253
24,154,155,276,276
25,167,194,300,300
26,167,186,325,325
27,175,165,351,351
28,181,231,378,378
29,197,191,406,406
30,204,208,435,435
